date,storage,release,net_inflow
1/1/1991,232.21,0,0.87962963
1/2/1991,232.286,0,1.770833333
1/3/1991,232.439,0,2.222222222
1/4/1991,232.631,0,2.222222222
1/5/1991,232.823,0,0
1/6/1991,232.823,0,2.662037037
1/7/1991,233.053,0,2.662037037
1/8/1991,233.283,0,2.849537037
1/9/1991,233.5292,0,2.849537037
1/10/1991,233.7754,0,2.849537037
1/11/1991,234.0216,0,2.849537037
1/12/1991,234.2678,0,2.849537037
1/13/1991,234.514,0,2.679398148
1/14/1991,234.7455,0,2.679398148
1/15/1991,234.977,0,1.782407407
1/16/1991,235.131,0,1.782407407
1/17/1991,235.285,0,1.793981481
1/18/1991,235.44,0,1.793981481
1/19/1991,235.595,0,0
1/20/1991,235.595,0,1.782407407
1/21/1991,235.749,0,1.793981481
1/22/1991,235.904,0,1.782407407
1/23/1991,236.058,0,1.805555556
1/24/1991,236.214,0,0
1/25/1991,236.214,0,1.793981481
1/26/1991,236.369,0,0
1/27/1991,236.369,0,1.782407407
1/28/1991,236.523,0,0
1/29/1991,236.523,0,1.805555556
1/30/1991,236.679,0,0
1/31/1991,236.679,0,1.793981481
2/1/1991,236.834,0,0
2/2/1991,236.834,0,1.805555556
2/3/1991,236.99,0,0
2/4/1991,236.99,0,1.793981481
2/5/1991,237.145,0,1.805555556
2/6/1991,237.301,0,0
2/7/1991,237.301,0,1.793981481
2/8/1991,237.456,0,1.793981481
2/9/1991,237.611,0,1.805555556
2/10/1991,237.767,0,0
2/11/1991,237.767,0,1.793981481
2/12/1991,237.922,0,1.81712963
2/13/1991,238.079,0,0
2/14/1991,238.079,0,1.793981481
2/15/1991,238.234,0,0.902777778
2/16/1991,238.312,0,0.902777778
2/17/1991,238.39,0,0
2/18/1991,238.39,0,0.914351852
2/19/1991,238.469,0,1.793981481
2/20/1991,238.624,0,0.914351852
2/21/1991,238.703,0,0
2/22/1991,238.703,0,0
2/23/1991,238.703,0,0
2/24/1991,238.703,0,0
2/25/1991,238.703,0,0.902777778
2/26/1991,238.781,0,0.891203704
2/27/1991,238.858,0,0.914351852
2/28/1991,238.937,0,0
3/1/1991,238.937,0,-0.914351852
3/2/1991,238.858,0,0
3/3/1991,238.858,0,0
3/4/1991,238.858,0,0.914351852
3/5/1991,238.937,0,-0.914351852
3/6/1991,238.858,0,-1.793981481
3/7/1991,238.703,0,-1.811342593
3/8/1991,238.5465,0,-1.811342593
3/9/1991,238.39,0.113,-0.789777778
3/10/1991,238.312,0.17,1.072777778
3/11/1991,238.39,0.17,-0.732777778
3/12/1991,238.312,0.17,-2.532546296
3/13/1991,238.0785,0.17,-2.532546296
3/14/1991,237.845,0.17,0.17
3/15/1991,237.845,0.17,0.17
3/16/1991,237.845,0.17,0.17
3/17/1991,237.845,0.17,0.17
3/18/1991,237.845,0.17,-0.732777778
3/19/1991,237.767,0.17,0.17
3/20/1991,237.767,0.17,-1.635555556
3/21/1991,237.611,0.17,-0.721203704
3/22/1991,237.534,0.17,-1.629768519
3/23/1991,237.3785,0.17,-1.629768519
3/24/1991,237.223,0.17,-0.732777778
3/25/1991,237.145,0.17,0.17
3/26/1991,237.145,0.17,-1.623981481
3/27/1991,236.99,0.17,1.963981481
3/28/1991,237.145,0.17,0.17
3/29/1991,237.145,0.057,0.057
3/30/1991,237.145,0,0.902777778
3/31/1991,237.223,0,0.902777778
4/1/1991,237.301,0.113,-1.692555556
4/2/1991,237.145,0.17,-1.623981481
4/3/1991,236.99,0.17,-0.732777778
4/4/1991,236.912,0.17,0.621388889
4/5/1991,236.951,0.17,0.621388889
4/6/1991,236.99,3.313,-4.678898148
4/7/1991,236.2995,5.352,-2.639898148
4/8/1991,235.609,5.635,-2.356898148
4/9/1991,234.9185,5.409,-2.582898148
4/10/1991,234.228,5.295,-2.696898148
4/11/1991,233.5375,4.559,-3.432898148
4/12/1991,232.847,4.276,-3.715898148
4/13/1991,232.1565,4.644,-3.347898148
4/14/1991,231.466,5.097,-2.894898148
4/15/1991,230.7755,5.55,-2.441898148
4/16/1991,230.085,6.201,-1.790898148
4/17/1991,229.3945,7.617,-0.374898148
4/18/1991,228.704,8.014,0.022101852
4/19/1991,228.0135,7.9,-0.091898148
4/20/1991,227.323,7.872,-0.119898148
4/21/1991,226.6325,8.24,0.248101852
4/22/1991,225.942,8.382,0.390101852
4/23/1991,225.2515,8.722,0.730101852
4/24/1991,224.561,8.523,0.531101852
4/25/1991,223.8705,8.24,0.248101852
4/26/1991,223.18,8.099,0.107101852
4/27/1991,222.4895,8.042,0.050101852
4/28/1991,221.799,8.184,0.192101852
4/29/1991,221.1085,8.297,0.305101852
4/30/1991,220.418,8.297,0.305101852
5/1/1991,219.7275,8.608,0.616101852
5/2/1991,219.037,8.722,0.730101852
5/3/1991,218.3465,8.184,0.192101852
5/4/1991,217.656,7.589,-0.402898148
