date,storage,release,net_inflow
1/1/1989,73.788,28.883,26.87489815
1/2/1989,73.6145,28.883,26.87489815
1/3/1989,73.441,29.166,29.166
1/4/1989,73.441,29.166,29.25280556
1/5/1989,73.4485,29.166,29.25280556
1/6/1989,73.456,28.883,28.96980556
1/7/1989,73.4635,28.883,28.96980556
1/8/1989,73.471,28.883,28.96980556
1/9/1989,73.4785,28.883,28.96980556
1/10/1989,73.486,28.883,28.06124074
1/11/1989,73.415,29.166,28.34424074
1/12/1989,73.344,28.883,28.06124074
1/13/1989,73.273,28.6,27.77824074
1/14/1989,73.202,28.6,31.27361111
1/15/1989,73.433,28.6,27.00856481
1/16/1989,73.2955,22.597,21.00556481
1/17/1989,73.158,18.661,20.81377778
1/18/1989,73.344,18.661,18.661
1/19/1989,73.344,18.689,20.03159259
1/20/1989,73.46,18.831,18.5185
1/21/1989,73.433,18.972,20.31459259
1/22/1989,73.549,18.972,19.88056481
1/23/1989,73.6275,18.972,19.88056481
1/24/1989,73.706,18.944,16.02733333
1/25/1989,73.454,18.887,15.97033333
1/26/1989,73.202,19.001,18.82160185
1/27/1989,73.1865,17.896,17.71660185
1/28/1989,73.171,17.641,17.46160185
1/29/1989,73.1555,17.811,17.63160185
1/30/1989,73.14,17.868,23.61645679
1/31/1989,73.63666667,17.84,23.58845679
2/1/1989,74.13333333,17.755,23.50345679
2/2/1989,74.63,17.67,20.70240741
2/3/1989,74.892,27.354,30.38640741
2/4/1989,75.154,48.139,51.17140741
2/5/1989,75.416,54.935,51.72608796
2/6/1989,75.13875,55.784,52.57508796
2/7/1989,74.8615,56.634,53.42508796
2/8/1989,74.58425,49.554,46.34508796
2/9/1989,74.307,43.042,35.13690741
2/10/1989,73.624,31.432,23.52690741
2/11/1989,72.941,18.604,10.69890741
2/12/1989,72.258,18.094,22.49021914
2/13/1989,72.63783333,17.67,22.06621914
2/14/1989,73.01766667,17.67,22.06621914
2/15/1989,73.3975,17.67,19.00680556
2/16/1989,73.513,17.67,20.76799383
2/17/1989,73.78066667,17.67,20.76799383
2/18/1989,74.04833333,17.67,20.76799383
2/19/1989,74.316,17.67,20.35229167
2/20/1989,74.54775,17.755,20.43729167
2/21/1989,74.7795,17.811,20.49329167
2/22/1989,75.01125,17.811,20.49329167
2/23/1989,75.243,17.896,20.57829167
2/24/1989,75.47475,17.953,20.63529167
2/25/1989,75.7065,17.953,20.63529167
2/26/1989,75.93825,18.038,20.72029167
2/27/1989,76.17,18.632,21.31429167
2/28/1989,76.40175,19.114,21.79629167
3/1/1989,76.6335,19.227,21.90929167
3/2/1989,76.86525,53.802,56.48429167
3/3/1989,77.097,87.499,90.18129167
3/4/1989,77.32875,55.784,58.46629167
3/5/1989,77.5605,47.006,49.68829167
3/6/1989,77.79225,72.208,74.89029167
3/7/1989,78.024,74.473,106.8427917
3/8/1989,80.82075,80.42,112.7897917
3/9/1989,83.6175,247.772,280.1417917
3/10/1989,86.41425,461.564,493.9337917
3/11/1989,89.211,410.594,409.9979352
3/12/1989,89.1595,262.214,261.6179352
3/13/1989,89.108,255.701,252.2133457
3/14/1989,88.80666667,300.158,296.6703457
3/15/1989,88.50533333,248.338,244.8503457
3/16/1989,88.204,225.119,222.1078117
3/17/1989,87.94383333,203.598,200.5868117
3/18/1989,87.68366667,204.73,204.3789198
3/19/1989,87.65333333,240.41,240.0589198
3/20/1989,87.623,198.501,195.6769259
3/21/1989,87.379,160.273,157.4489259
3/22/1989,87.135,143.849,141.6267778
3/23/1989,86.943,138.186,141.1049815
3/24/1989,87.1952,217.473,220.3919815
3/25/1989,87.4474,594.653,597.5719815
3/26/1989,87.6996,495.544,498.4629815
3/27/1989,87.9518,294.495,297.4139815
3/28/1989,88.204,244.94,240.1136111
3/29/1989,87.787,203.315,198.4886111
3/30/1989,87.37,155.459,150.6326111
3/31/1989,86.953,129.691,129.216463
4/1/1989,86.912,131.107,131.4657963
4/2/1989,86.943,127.709,129.9312222
4/3/1989,87.135,144.699,144.8990661
4/4/1989,87.15228571,135.354,135.5540661
4/5/1989,87.16957143,129.125,129.3250661
4/6/1989,87.18685714,127.709,127.9090661
4/7/1989,87.20414286,127.992,128.1920661
4/8/1989,87.22142857,130.257,130.4570661
4/9/1989,87.23871429,137.62,137.8200661
4/10/1989,87.256,144.982,144.3801481
4/11/1989,87.204,144.416,143.8141481
4/12/1989,87.152,142.434,141.8321481
4/13/1989,87.1,135.071,134.4691481
4/14/1989,87.048,131.956,131.3541481
4/15/1989,86.996,130.257,129.6551481
4/16/1989,86.944,132.806,132.2041481
4/17/1989,86.892,133.089,132.3879418
4/18/1989,86.83142857,132.806,132.1049418
4/19/1989,86.77085714,132.239,131.5379418
4/20/1989,86.71028571,125.727,125.0259418
4/21/1989,86.64971429,133.089,132.3879418
4/22/1989,86.58914286,136.77,136.0689418
4/23/1989,86.52857143,127.709,127.0079418
4/24/1989,86.468,123.461,117.877956
4/25/1989,85.985625,120.063,114.479956
4/26/1989,85.50325,118.364,112.780956
4/27/1989,85.020875,118.364,112.780956
4/28/1989,84.5385,118.364,112.780956
4/29/1989,84.056125,118.364,112.780956
4/30/1989,83.57375,116.382,110.798956
5/1/1989,83.091375,56.067,50.48395602
5/2/1989,82.609,44.457,46.71394444
5/3/1989,82.804,41.343,43.97803086
5/4/1989,83.03166667,39.927,42.56203086
5/5/1989,83.25933333,39.36,41.99503086
5/6/1989,83.487,39.077,36.13718519
5/7/1989,83.233,39.36,36.42018519
5/8/1989,82.979,40.21,36.26324074
5/9/1989,82.638,41.343,40.72571605
5/10/1989,82.58466667,45.873,45.25571605
5/11/1989,82.53133333,51.537,50.91971605
5/12/1989,82.478,54.085,53.46771605
5/13/1989,82.42466667,55.218,54.60071605
5/14/1989,82.37133333,55.501,54.88371605
5/15/1989,82.318,55.218,59.0903545
5/16/1989,82.65257143,55.218,59.0903545
5/17/1989,82.98714286,55.218,59.0903545
5/18/1989,83.32171429,55.501,59.3733545
5/19/1989,83.65628571,55.784,59.6563545
5/20/1989,83.99085714,65.978,69.8503545
5/21/1989,84.32542857,65.978,69.8503545
5/22/1989,84.66,62.014,53.52441667
5/23/1989,83.9265,54.085,45.59541667
5/24/1989,83.193,52.103,52.28587037
5/25/1989,83.2088,52.103,52.28587037
5/26/1989,83.2246,52.669,52.85187037
5/27/1989,83.2404,62.297,62.47987037
5/28/1989,83.2562,62.297,62.47987037
5/29/1989,83.272,53.236,52.70193915
