date,storage,release,net_inflow
1/1/1985,2871.048,552.178,385.140963
1/2/1985,2856.616,209.544,-103.5421442
1/3/1985,2829.565357,127.426,-185.6601442
1/4/1985,2802.514714,407.762,94.67585582
1/5/1985,2775.464071,614.475,301.3888558
1/6/1985,2748.413429,659.781,346.6948558
1/7/1985,2721.362786,659.781,346.6948558
1/8/1985,2694.312143,659.781,346.6948558
1/9/1985,2667.2615,656.95,343.8638558
1/10/1985,2640.210857,656.95,343.8638558
1/11/1985,2613.160214,651.286,338.1998558
1/12/1985,2586.109571,645.623,332.5368558
1/13/1985,2559.058929,645.623,332.5368558
1/14/1985,2532.008286,645.623,332.5368558
1/15/1985,2504.957643,639.96,326.8738558
1/16/1985,2477.907,637.128,324.0418558
1/17/1985,2450.856357,637.128,324.0418558
1/18/1985,2423.805714,634.296,321.2098558
1/19/1985,2396.755071,634.296,321.2098558
1/20/1985,2369.704429,634.296,321.2098558
1/21/1985,2342.653786,628.633,315.5468558
1/22/1985,2315.603143,622.97,309.8838558
1/23/1985,2288.5525,620.138,307.0518558
1/24/1985,2261.501857,617.306,304.2198558
1/25/1985,2234.451214,617.306,304.2198558
1/26/1985,2207.400571,611.643,298.5568558
1/27/1985,2180.349929,566.336,253.2498558
1/28/1985,2153.299286,235.029,-78.05714418
1/29/1985,2126.248643,314.316,1.22985582
1/30/1985,2099.198,359.623,46.53685582
1/31/1985,2072.147357,348.297,35.21085582
2/1/1985,2045.096714,342.633,29.54685582
2/2/1985,2018.046071,336.97,23.88385582
2/3/1985,1990.995429,113.267,-199.8191442
2/4/1985,1963.944786,113.267,-199.8191442
2/5/1985,1936.894143,192.554,-120.5321442
2/6/1985,1909.8435,113.267,-199.8191442
2/7/1985,1882.792857,353.96,40.87385582
2/8/1985,1855.742214,586.158,273.0718558
2/9/1985,1828.691571,594.653,281.5668558
2/10/1985,1801.640929,362.455,49.36885582
2/11/1985,1774.590286,113.267,-199.8191442
2/12/1985,1747.539643,167.069,-146.0171442
2/13/1985,1720.489,113.267,-199.8191442
2/14/1985,1693.438357,113.267,-199.8191442
2/15/1985,1666.387714,308.653,-4.43314418
2/16/1985,1639.337071,124.594,-188.4921442
2/17/1985,1612.286429,113.267,-199.8191442
2/18/1985,1585.235786,113.267,-199.8191442
2/19/1985,1558.185143,113.267,-199.8191442
2/20/1985,1531.1345,113.267,-199.8191442
2/21/1985,1504.083857,113.267,-199.8191442
2/22/1985,1477.033214,113.267,-199.8191442
2/23/1985,1449.982571,113.267,-199.8191442
2/24/1985,1422.931929,113.267,-199.8191442
2/25/1985,1395.881286,113.267,-199.8191442
2/26/1985,1368.830643,113.267,-199.8191442
2/27/1985,1341.78,113.267,70.43135185
2/28/1985,1338.079,113.267,71.86653704
3/1/1985,1334.502,113.267,84.71375926
3/2/1985,1332.035,113.267,70.44292593
3/3/1985,1328.335,113.267,76.14894444
3/4/1985,1325.128,113.267,71.85496296
3/5/1985,1321.55,113.267,67.58412963
3/6/1985,1317.603,113.267,61.87811111
3/7/1985,1313.163,113.267,63.30172222
3/8/1985,1308.846,113.267,67.57255556
3/9/1985,1304.898,113.267,73.30172222
3/10/1985,1301.445,113.267,67.58412963
3/11/1985,1297.498,113.267,63.29014815
3/12/1985,1293.18,113.267,64.73690741
3/13/1985,1288.987,113.267,70.43135185
3/14/1985,1285.286,113.267,70.44292593
3/15/1985,1281.586,113.267,77.57255556
3/16/1985,1278.502,113.267,76.14894444
3/17/1985,1275.295,113.267,73.29014815
3/18/1985,1271.841,113.267,79.00774074
3/19/1985,1268.881,113.267,77.57255556
3/20/1985,1265.797,113.267,81.86653704
3/21/1985,1263.084,113.267,98.98459259
3/22/1985,1261.85,110.436,81.88275926
3/23/1985,1259.383,113.267,84.71375926
3/24/1985,1256.916,113.267,79.00774074
3/25/1985,1253.956,113.267,93.27857407
3/26/1985,1252.229,113.267,84.71375926
3/27/1985,1249.762,113.267,74.72533333
3/28/1985,1246.432,113.267,76.13737037
3/29/1985,1243.224,113.267,67.58412963
3/30/1985,1239.277,113.267,83.29014815
3/31/1985,1236.687,113.267,73.29014815
4/1/1985,1233.233,113.267,96.13737037
4/2/1985,1231.753,104.772,101.9132037
4/3/1985,1231.506,90.614,116.3200185
4/4/1985,1233.727,84.95,107.7856481
4/5/1985,1235.7,84.95,109.2208333
4/6/1985,1237.797,84.95,102.0796296
4/7/1985,1239.277,84.95,103.5148148
4/8/1985,1240.881,84.95,97.79722222
4/9/1985,1241.991,84.95,113.5032407
4/10/1985,1244.458,84.95,117.7856481
4/11/1985,1247.295,84.95,207.7277778
4/12/1985,1257.903,84.95,192.0217593
4/13/1985,1267.154,84.95,251.987037
4/14/1985,1281.586,84.95,288.1508745
4/15/1985,1299.142556,84.95,288.1508745
4/16/1985,1316.699111,84.95,288.1508745
4/17/1985,1334.255667,84.95,288.1508745
4/18/1985,1351.812222,84.95,288.1508745
4/19/1985,1369.368778,84.95,288.1508745
4/20/1985,1386.925333,84.95,288.1508745
4/21/1985,1404.481889,84.95,288.1508745
4/22/1985,1422.038444,84.95,288.1508745
4/23/1985,1439.595,84.95,164.8921296
4/24/1985,1446.502,84.95,223.4337963
4/25/1985,1458.467,84.95,179.174537
4/26/1985,1466.608,84.95,169.174537
4/27/1985,1473.885,84.95,229.8574074
4/28/1985,1486.405,84.95,598.9061946
4/29/1985,1530.810815,84.95,598.9061946
4/30/1985,1575.21663,84.95,598.9061946
5/1/1985,1619.622446,84.95,598.9061946
5/2/1985,1664.028261,84.95,598.9061946
5/3/1985,1708.434076,84.95,598.9061946
5/4/1985,1752.839891,84.95,598.9061946
5/5/1985,1797.245707,84.95,598.9061946
5/6/1985,1841.651522,84.95,598.9061946
5/7/1985,1886.057337,84.95,598.9061946
5/8/1985,1930.463152,84.95,598.9061946
5/9/1985,1974.868967,84.95,598.9061946
5/10/1985,2019.274783,84.95,598.9061946
5/11/1985,2063.680598,84.95,598.9061946
5/12/1985,2108.086413,84.95,598.9061946
5/13/1985,2152.492228,84.95,598.9061946
5/14/1985,2196.898043,84.95,598.9061946
5/15/1985,2241.303859,84.95,598.9061946
5/16/1985,2285.709674,84.95,598.9061946
5/17/1985,2330.115489,84.95,598.9061946
5/18/1985,2374.521304,84.95,598.9061946
5/19/1985,2418.92712,84.95,598.9061946
5/20/1985,2463.332935,84.95,598.9061946
5/21/1985,2507.73875,84.95,598.9061946
5/22/1985,2552.144565,84.95,598.9061946
5/23/1985,2596.55038,84.95,598.9061946
5/24/1985,2640.956196,84.95,598.9061946
5/25/1985,2685.362011,84.95,598.9061946
5/26/1985,2729.767826,84.95,598.9061946
5/27/1985,2774.173641,84.95,598.9061946
5/28/1985,2818.579457,84.95,598.9061946
5/29/1985,2862.985272,84.95,598.9061946
5/30/1985,2907.391087,84.95,598.9061946
5/31/1985,2951.796902,84.95,598.9061946
6/1/1985,2996.202717,84.95,598.9061946
6/2/1985,3040.608533,84.95,598.9061946
6/3/1985,3085.014348,84.95,598.9061946
6/4/1985,3129.420163,133.089,647.0451946
6/5/1985,3173.825978,135.921,649.8771946
6/6/1985,3218.231793,84.95,598.9061946
6/7/1985,3262.637609,84.95,598.9061946
6/8/1985,3307.043424,84.95,598.9061946
6/9/1985,3351.449239,84.95,598.9061946
6/10/1985,3395.855054,84.95,598.9061946
6/11/1985,3440.26087,84.95,598.9061946
6/12/1985,3484.666685,84.95,598.9061946
6/13/1985,3529.0725,84.95,598.9061946
6/14/1985,3573.478315,84.95,598.9061946
6/15/1985,3617.88413,84.95,598.9061946
6/16/1985,3662.289946,84.95,598.9061946
6/17/1985,3706.695761,84.95,598.9061946
6/18/1985,3751.101576,84.95,598.9061946
6/19/1985,3795.507391,84.95,598.9061946
6/20/1985,3839.913207,84.95,598.9061946
6/21/1985,3884.319022,84.95,598.9061946
6/22/1985,3928.724837,84.95,598.9061946
6/23/1985,3973.130652,84.95,598.9061946
6/24/1985,4017.536467,147.247,661.2031946
6/25/1985,4061.942283,93.445,607.4011946
6/26/1985,4106.348098,84.95,598.9061946
6/27/1985,4150.753913,87.782,601.7381946
6/28/1985,4195.159728,84.95,598.9061946
6/29/1985,4239.565543,84.95,598.9061946
6/30/1985,4283.971359,84.95,598.9061946
7/1/1985,4328.377174,84.95,598.9061946
7/2/1985,4372.782989,84.95,598.9061946
7/3/1985,4417.188804,84.95,598.9061946
7/4/1985,4461.59462,84.95,598.9061946
7/5/1985,4506.000435,84.95,598.9061946
7/6/1985,4550.40625,84.95,598.9061946
7/7/1985,4594.812065,84.95,598.9061946
7/8/1985,4639.21788,84.95,598.9061946
7/9/1985,4683.623696,84.95,598.9061946
7/10/1985,4728.029511,84.95,598.9061946
7/11/1985,4772.435326,84.95,598.9061946
7/12/1985,4816.841141,84.95,598.9061946
7/13/1985,4861.246957,84.95,598.9061946
7/14/1985,4905.652772,84.95,598.9061946
7/15/1985,4950.058587,84.95,598.9061946
7/16/1985,4994.464402,99.109,613.0651946
7/17/1985,5038.870217,113.267,627.2231946
7/18/1985,5083.276033,164.237,678.1931946
7/19/1985,5127.681848,175.564,689.5201946
7/20/1985,5172.087663,198.218,712.1741946
7/21/1985,5216.493478,110.436,624.3921946
7/22/1985,5260.899293,195.386,709.3421946
7/23/1985,5305.305109,218.039,731.9951946
7/24/1985,5349.710924,229.366,743.3221946
7/25/1985,5394.116739,226.534,740.4901946
7/26/1985,5438.522554,226.534,740.4901946
7/27/1985,5482.92837,178.396,692.3521946
7/28/1985,5527.334185,164.237,678.1931946
7/29/1985,5571.74,246.356,89.31896296
7/30/1985,5558.172,325.643,238.6985556
7/31/1985,5550.66,286,207.4814815
8/1/1985,5543.876,254.851,174.7584074
8/2/1985,5536.956,252.02,333.3973148
8/3/1985,5543.987,113.267,196.0679259
8/4/1985,5551.141,104.772,61.94792593
8/5/1985,5547.441,232.198,223.6331852
8/6/1985,5546.701,181.228,169.9432778
8/7/1985,5545.726,181.228,172.5242963
8/8/1985,5544.974,201.049,201.049
8/9/1985,5544.974,184.059,249.8691852
8/10/1985,5550.66,113.267,144.679037
8/11/1985,5553.374,113.267,117.5494074
8/12/1985,5553.744,184.059,184.059
8/13/1985,5553.744,178.396,192.6668333
8/14/1985,5554.977,178.396,164.1251667
8/15/1985,5553.744,189.723,185.4405926
8/16/1985,5553.374,198.218,276.7365185
8/17/1985,5560.158,116.099,206.0411296
8/18/1985,5567.929,113.267,118.8341296
8/19/1985,5568.41,195.386,121.2887778
8/20/1985,5562.008,254.851,179.0408148
8/21/1985,5555.458,252.02,196.4875926
8/22/1985,5550.66,252.02,194.9135185
8/23/1985,5545.726,252.02,309.1264815
8/24/1985,5550.66,116.099,153.0781667
8/25/1985,5553.855,110.436,146.1188704
8/26/1985,5556.938,127.426,141.7084074
8/27/1985,5558.172,138.752,63.0807037
8/28/1985,5551.634,283.168,121.9874444
8/29/1985,5537.708,311.485,165.7326852
8/30/1985,5525.115,311.485,261.5081481
8/31/1985,5520.797,192.554,155.5864074
9/1/1985,5517.603,186.891,112.6548889
9/2/1985,5511.189,184.059,45.43631481
9/3/1985,5499.212,297.326,151.7415093
9/4/1985,5486.6335,348.297,202.7125093
9/5/1985,5474.055,416.257,270.6725093
9/6/1985,5461.4765,387.94,242.3555093
9/7/1985,5448.898,138.752,155.8816296
9/8/1985,5450.378,138.752,153.0344074
9/9/1985,5451.612,138.752,157.3052407
9/10/1985,5453.215,138.752,218.5552407
9/11/1985,5460.11,138.752,150.1756111
9/12/1985,5461.097,138.752,267.2396543
9/13/1985,5472.198333,138.752,267.2396543
9/14/1985,5483.299667,209.544,338.0316543
9/15/1985,5494.401,311.485,320.1887037
9/16/1985,5495.153,300.158,324.4288333
9/17/1985,5497.25,300.158,161.6857778
9/18/1985,5485.286,404.93,252.0249074
9/19/1985,5472.075,416.257,240.8056111
9/20/1985,5456.916,416.257,286.1991296
9/21/1985,5445.679,416.257,223.5255185
9/22/1985,5429.027,416.257,114.8804725
9/23/1985,5402.988068,413.425,112.0484725
9/24/1985,5376.949136,416.257,114.8804725
9/25/1985,5350.910204,416.257,114.8804725
9/26/1985,5324.871272,416.257,114.8804725
9/27/1985,5298.83234,416.257,114.8804725
9/28/1985,5272.793408,416.257,114.8804725
9/29/1985,5246.754476,416.257,114.8804725
9/30/1985,5220.715544,416.257,114.8804725
10/1/1985,5194.676612,416.257,114.8804725
10/2/1985,5168.63768,416.257,114.8804725
10/3/1985,5142.598748,399.267,97.89047254
10/4/1985,5116.559816,379.445,78.06847254
10/5/1985,5090.520884,419.089,117.7124725
10/6/1985,5064.481952,424.752,123.3754725
10/7/1985,5038.44302,447.405,146.0284725
10/8/1985,5012.404088,498.376,196.9994725
10/9/1985,4986.365156,560.673,259.2964725
10/10/1985,4960.326224,563.504,262.1274725
10/11/1985,4934.287293,552.178,250.8014725
10/12/1985,4908.248361,538.019,236.6424725
10/13/1985,4882.209429,387.94,86.56347254
10/14/1985,4856.170497,535.188,233.8114725
10/15/1985,4830.131565,566.336,264.9594725
10/16/1985,4804.092633,566.336,264.9594725
10/17/1985,4778.053701,566.336,264.9594725
10/18/1985,4752.014769,569.168,267.7914725
10/19/1985,4725.975837,588.989,287.6124725
10/20/1985,4699.936905,588.989,287.6124725
10/21/1985,4673.897973,588.989,287.6124725
10/22/1985,4647.859041,588.989,287.6124725
10/23/1985,4621.820109,588.989,287.6124725
10/24/1985,4595.781177,588.989,287.6124725
10/25/1985,4569.742245,586.158,284.7814725
10/26/1985,4543.703313,588.989,287.6124725
10/27/1985,4517.664381,588.989,287.6124725
10/28/1985,4491.625449,588.989,287.6124725
10/29/1985,4465.586517,586.158,284.7814725
10/30/1985,4439.547585,577.663,276.2864725
10/31/1985,4413.508653,506.871,205.4944725
11/1/1985,4387.469721,467.227,165.8504725
11/2/1985,4361.430789,580.494,279.1174725
11/3/1985,4335.391857,588.989,287.6124725
11/4/1985,4309.352925,594.653,293.2764725
11/5/1985,4283.313993,611.643,310.2664725
11/6/1985,4257.275061,387.94,86.56347254
11/7/1985,4231.236129,113.267,-188.1095275
11/8/1985,4205.197197,113.267,-188.1095275
11/9/1985,4179.158265,113.267,-188.1095275
11/10/1985,4153.119333,450.237,148.8604725
11/11/1985,4127.080401,622.97,321.5934725
11/12/1985,4101.041469,620.138,318.7614725
11/13/1985,4075.002537,608.811,307.4344725
11/14/1985,4048.963605,597.484,296.1074725
11/15/1985,4022.924673,608.811,307.4344725
11/16/1985,3996.885741,608.811,307.4344725
11/17/1985,3970.84681,611.643,310.2664725
11/18/1985,3944.807878,611.643,310.2664725
11/19/1985,3918.768946,608.811,307.4344725
11/20/1985,3892.730014,586.158,284.7814725
11/21/1985,3866.691082,580.494,279.1174725
11/22/1985,3840.65215,594.653,293.2764725
11/23/1985,3814.613218,600.316,298.9394725
11/24/1985,3788.574286,588.989,287.6124725
11/25/1985,3762.535354,586.158,284.7814725
11/26/1985,3736.496422,591.821,290.4444725
11/27/1985,3710.45749,586.158,284.7814725
11/28/1985,3684.418558,580.494,279.1174725
11/29/1985,3658.379626,577.663,276.2864725
11/30/1985,3632.340694,577.663,276.2864725
12/1/1985,3606.301762,574.831,273.4544725
12/2/1985,3580.26283,577.663,276.2864725
12/3/1985,3554.223898,586.158,284.7814725
12/4/1985,3528.184966,588.989,287.6124725
12/5/1985,3502.146034,588.989,287.6124725
12/6/1985,3476.107102,583.326,281.9494725
12/7/1985,3450.06817,586.158,284.7814725
12/8/1985,3424.029238,518.197,216.8204725
12/9/1985,3397.990306,232.198,-69.17852746
12/10/1985,3371.951374,113.267,-188.1095275
12/11/1985,3345.912442,113.267,-188.1095275
12/12/1985,3319.87351,113.267,-188.1095275
12/13/1985,3293.834578,113.267,-188.1095275
12/14/1985,3267.795646,113.267,-188.1095275
12/15/1985,3241.756714,113.267,-188.1095275
12/16/1985,3215.717782,116.099,-185.2775275
12/17/1985,3189.67885,116.099,-185.2775275
12/18/1985,3163.639918,121.762,-179.6145275
12/19/1985,3137.600986,113.267,-188.1095275
12/20/1985,3111.562054,110.436,-190.9405275
12/21/1985,3085.523122,113.267,-188.1095275
12/22/1985,3059.48419,447.405,146.0284725
12/23/1985,3033.445259,566.336,264.9594725
12/24/1985,3007.406327,566.336,264.9594725
12/25/1985,2981.367395,566.336,264.9594725
12/26/1985,2955.328463,591.821,290.4444725
12/27/1985,2929.289531,591.821,290.4444725
12/28/1985,2903.250599,586.158,284.7814725
12/29/1985,2877.211667,583.326,281.9494725
12/30/1985,2851.172735,574.831,273.4544725
12/31/1985,2825.133803,571.999,270.6224725
1/1/1986,2799.094871,563.504,262.1274725
1/2/1986,2773.055939,560.673,259.2964725
1/3/1986,2747.017007,555.009,253.6324725
1/4/1986,2720.978075,569.168,267.7914725
1/5/1986,2694.939143,574.831,273.4544725
1/6/1986,2668.900211,571.999,270.6224725
1/7/1986,2642.861279,563.504,262.1274725
1/8/1986,2616.822347,555.009,253.6324725
1/9/1986,2590.783415,543.683,242.3064725
1/10/1986,2564.744483,521.029,219.6524725
1/11/1986,2538.705551,518.197,216.8204725
1/12/1986,2512.666619,518.197,216.8204725
1/13/1986,2486.627687,540.851,239.4744725
1/14/1986,2460.588755,546.514,245.1374725
1/15/1986,2434.549823,478.554,177.1774725
1/16/1986,2408.510891,501.207,199.8304725
1/17/1986,2382.471959,509.702,208.3254725
1/18/1986,2356.433027,506.871,205.4944725
1/19/1986,2330.394095,331.307,29.93047254
1/20/1986,2304.355163,113.267,-188.1095275
1/21/1986,2278.316231,113.267,-188.1095275
1/22/1986,2252.277299,373.782,72.40547254
1/23/1986,2226.238367,495.544,194.1674725
1/24/1986,2200.199435,498.376,196.9994725
1/25/1986,2174.160503,501.207,199.8304725
1/26/1986,2148.121571,532.356,230.9794725
1/27/1986,2122.082639,532.356,230.9794725
1/28/1986,2096.043707,521.029,219.6524725
1/29/1986,2070.004776,512.534,211.1574725
1/30/1986,2043.965844,509.702,208.3254725
1/31/1986,2017.926912,498.376,196.9994725
2/1/1986,1991.88798,478.554,177.1774725
2/2/1986,1965.849048,116.099,-185.2775275
2/3/1986,1939.810116,113.267,-188.1095275
2/4/1986,1913.771184,113.267,-188.1095275
2/5/1986,1887.732252,113.267,-188.1095275
2/6/1986,1861.69332,113.267,-188.1095275
2/7/1986,1835.654388,110.436,-190.9405275
2/8/1986,1809.615456,110.436,-190.9405275
2/9/1986,1783.576524,113.267,-188.1095275
2/10/1986,1757.537592,110.436,-190.9405275
2/11/1986,1731.49866,113.267,-188.1095275
2/12/1986,1705.459728,110.436,-190.9405275
2/13/1986,1679.420796,110.436,-190.9405275
2/14/1986,1653.381864,110.436,-190.9405275
2/15/1986,1627.342932,113.267,-188.1095275
2/16/1986,1601.304,110.436,67.60035185
2/17/1986,1597.603,113.267,88.99616667
2/18/1986,1595.506,113.267,41.88968519
2/19/1986,1589.339,113.267,70.44292593
2/20/1986,1585.639,110.436,49.04711111
2/21/1986,1580.335,113.267,78.99616667
2/22/1986,1577.374,110.436,67.61192593
2/23/1986,1573.674,110.436,76.16516667
2/24/1986,1570.713,110.436,84.74155556
2/25/1986,1568.493,110.436,161.836463
2/26/1986,1572.934,110.436,237.4961852
2/27/1986,1583.912,110.436,230.3549815
2/28/1986,1594.273,110.436,206.0841481
