date,storage,release,net_inflow
1/1/1978,953.297,1.133,1.133
1/2/1978,953.297,1.133,1.133
1/3/1978,953.297,1.133,1.133
1/4/1978,953.297,1.133,17.45823148
1/5/1978,954.7075,1.133,17.45823148
1/6/1978,956.118,1.133,1.133
1/7/1978,956.118,1.133,1.133
1/8/1978,956.118,1.133,1.133
1/9/1978,956.118,1.133,1.133
1/10/1978,956.118,13.082,-3.243231481
1/11/1978,954.7075,13.082,-3.243231481
1/12/1978,953.297,12.969,12.969
1/13/1978,953.297,1.614,1.614
1/14/1978,953.297,13.082,13.082
1/15/1978,953.297,1.133,1.133
1/16/1978,953.297,1.133,-15.16908333
1/17/1978,951.8885,18.802,2.499916667
1/18/1978,950.48,15.319,15.319
1/19/1978,950.48,24.324,16.18742593
1/20/1978,949.777,14.017,5.880425926
1/21/1978,949.074,26.335,18.19842593
1/22/1978,948.371,1.133,-7.003574074
1/23/1978,947.668,1.133,-15.117
1/24/1978,946.264,13.677,-2.573
1/25/1978,944.86,16.027,16.027
1/26/1978,944.86,16.027,-0.188277778
1/27/1978,943.459,16.027,-0.188277778
1/28/1978,942.058,16.622,16.622
1/29/1978,942.058,1.133,1.133
1/30/1978,942.058,1.133,1.133
1/31/1978,942.058,1.133,1.133
2/1/1978,942.058,1.133,1.133
2/2/1978,942.058,1.133,1.133
2/3/1978,942.058,14.611,-1.58112963
2/4/1978,940.659,12.969,-3.22312963
2/5/1978,939.26,1.133,1.133
2/6/1978,939.26,1.133,1.133
2/7/1978,939.26,17.217,1.059592593
2/8/1978,937.864,24.239,8.081592593
2/9/1978,936.468,1.133,1.133
2/10/1978,936.468,1.133,1.133
2/11/1978,936.468,1.133,17.29040741
2/12/1978,937.864,1.133,17.29040741
2/13/1978,939.26,1.133,17.32512963
2/14/1978,940.659,1.133,17.32512963
2/15/1978,942.058,1.133,17.34827778
2/16/1978,943.459,1.133,17.34827778
2/17/1978,944.86,1.133,1.133
2/18/1978,944.86,1.133,1.133
2/19/1978,944.86,1.133,17.383
2/20/1978,946.264,1.133,17.383
2/21/1978,947.668,1.133,43.05185965
2/22/1978,951.2897895,1.133,43.05185965
2/23/1978,954.9115789,1.133,43.05185965
2/24/1978,958.5333684,1.133,43.05185965
2/25/1978,962.1551579,1.133,43.05185965
2/26/1978,965.7769474,1.133,43.05185965
2/27/1978,969.3987368,1.133,43.05185965
2/28/1978,973.0205263,1.133,43.05185965
3/1/1978,976.6423158,1.133,43.05185965
3/2/1978,980.2641053,1.133,43.05185965
3/3/1978,983.8858947,1.133,43.05185965
3/4/1978,987.5076842,1.133,43.05185965
3/5/1978,991.1294737,1.133,43.05185965
3/6/1978,994.7512632,1.133,43.05185965
3/7/1978,998.3730526,1.133,43.05185965
3/8/1978,1001.994842,1.133,43.05185965
3/9/1978,1005.616632,1.133,43.05185965
3/10/1978,1009.238421,1.133,43.05185965
3/11/1978,1012.860211,1.133,43.05185965
3/12/1978,1016.482,1.133,58.04850926
3/13/1978,1021.3995,1.133,58.04850926
3/14/1978,1026.317,1.133,58.04850926
3/15/1978,1031.2345,1.133,58.04850926
3/16/1978,1036.152,1.133,58.04850926
3/17/1978,1041.0695,1.133,58.04850926
3/18/1978,1045.987,1.133,91.48294553
3/19/1978,1053.793235,1.133,91.48294553
3/20/1978,1061.599471,1.133,91.48294553
3/21/1978,1069.405706,19.822,110.1719455
3/22/1978,1077.211941,18.463,108.8129455
3/23/1978,1085.018176,21.606,111.9559455
3/24/1978,1092.824412,23.531,113.8809455
3/25/1978,1100.630647,0.651,91.00094553
3/26/1978,1108.436882,0.425,90.77494553
3/27/1978,1116.243118,0.425,90.77494553
3/28/1978,1124.049353,66.148,156.4979455
3/29/1978,1131.855588,43.438,133.7879455
3/30/1978,1139.661824,19.624,109.9739455
3/31/1978,1147.468059,55.02,145.3699455
4/1/1978,1155.274294,1.133,91.48294553
4/2/1978,1163.080529,1.133,91.48294553
4/3/1978,1170.886765,1.133,91.48294553
4/4/1978,1178.693,41.796,97.53674074
4/5/1978,1183.509,12.12,67.86074074
4/6/1978,1188.325,63.458,63.458
4/7/1978,1188.325,74.218,37.01892593
4/8/1978,1185.111,114.655,77.45592593
4/9/1978,1181.897,7.391,57.07464198
4/10/1978,1186.189667,1.133,50.81664198
4/11/1978,1190.482333,111.342,161.025642
4/12/1978,1194.775,146.285,98.22712963
4/13/1978,1190.6228,154.185,106.1271296
4/14/1978,1186.4706,146.539,98.48112963
4/15/1978,1182.3184,141.527,93.46912963
4/16/1978,1178.1662,1.133,-46.92487037
4/17/1978,1174.014,1.133,-46.92487037
4/18/1978,1169.8618,113.465,65.40712963
4/19/1978,1165.7096,148.89,100.8321296
4/20/1978,1161.5574,146.426,98.36812963
4/21/1978,1157.4052,156.932,108.8741296
4/22/1978,1153.253,150.249,106.0051728
4/23/1978,1149.430333,1.133,-43.11082716
4/24/1978,1145.607667,1.133,-43.11082716
4/25/1978,1141.785,93.219,48.97517284
4/26/1978,1137.962333,142.802,98.55817284
4/27/1978,1134.139667,117.232,72.98817284
4/28/1978,1130.317,57.002,12.75817284
4/29/1978,1126.494333,95.541,51.29717284
4/30/1978,1122.671667,1.133,-43.11082716
5/1/1978,1118.849,1.133,-43.50241667
5/2/1978,1114.9925,94.861,50.22558333
5/3/1978,1111.136,95.144,50.50858333
5/4/1978,1107.2795,67.847,23.21158333
5/5/1978,1103.423,96.022,25.15394444
5/6/1978,1097.3,96.39,25.52194444
5/7/1978,1091.177,1.133,27.75481713
5/8/1978,1093.477125,1.133,27.75481713
5/9/1978,1095.77725,46.779,73.40081713
5/10/1978,1098.077375,87.584,114.2058171
5/11/1978,1100.3775,94.267,120.8888171
5/12/1978,1102.677625,91.888,118.5098171
5/13/1978,1104.97775,91.35,117.9718171
5/14/1978,1107.277875,1.133,27.75481713
5/15/1978,1109.578,1.133,-16.69107407
5/16/1978,1108.038,52.726,34.90192593
5/17/1978,1106.498,27.524,27.524
5/18/1978,1106.498,1.133,36.83901852
5/19/1978,1109.583,1.133,36.83901852
5/20/1978,1112.668,14.895,50.60101852
5/21/1978,1115.753,1.133,63.13696825
5/22/1978,1121.110143,1.133,63.13696825
5/23/1978,1126.467286,21.407,83.41096825
5/24/1978,1131.824429,8.099,70.10296825
5/25/1978,1137.181571,1.133,63.13696825
5/26/1978,1142.538714,27.269,89.27296825
5/27/1978,1147.895857,34.405,96.40896825
5/28/1978,1153.253,1.133,1.133
5/29/1978,1153.253,1.133,1.133
5/30/1978,1153.253,1.133,1.133
5/31/1978,1153.253,81.213,81.213
6/1/1978,1153.253,78.268,78.268
6/2/1978,1153.253,57.455,57.455
6/3/1978,1153.253,1.133,1.133
6/4/1978,1153.253,1.133,30.47327778
6/5/1978,1155.788,1.133,30.47327778
6/6/1978,1158.323,1.133,30.47327778
6/7/1978,1160.858,1.133,30.47327778
6/8/1978,1163.393,1.133,30.47327778
6/9/1978,1165.928,1.133,1.133
6/10/1978,1165.928,1.133,1.133
6/11/1978,1165.928,1.133,1.133
6/12/1978,1165.928,1.133,19.55313889
6/13/1978,1167.5195,1.133,19.55313889
6/14/1978,1169.111,1.133,1.133
6/15/1978,1169.111,1.133,1.133
6/16/1978,1169.111,1.133,1.133
6/17/1978,1169.111,1.133,19.58207407
6/18/1978,1170.705,1.133,19.58207407
6/19/1978,1172.299,1.133,25.80120988
6/20/1978,1174.430333,1.133,25.80120988
6/21/1978,1176.561667,1.133,25.80120988
6/22/1978,1178.693,1.133,1.133
6/23/1978,1178.693,1.133,1.133
6/24/1978,1178.693,19.963,19.963
6/25/1978,1178.693,1.133,1.133
6/26/1978,1178.693,1.133,1.133
6/27/1978,1178.693,20.105,20.105
6/28/1978,1178.693,20.926,20.926
