date,storage,release,net_inflow
1/1/2001,1101.327,72.916001,72.916
1/2/2001,1101.327,138.271001,77.71544444
1/3/2001,1096.095,254.200001,196.9951389
1/4/2001,1091.1525,251.850001,194.6451389
1/5/2001,1086.21,238.003001,238.003
1/6/2001,1086.21,113.352001,111.1104877
1/7/2001,1086.016333,95.003001,92.76148765
1/8/2001,1085.822667,155.771001,153.5294877
1/9/2001,1085.629,140.196001,146.920537
1/10/2001,1086.21,169.080001,169.08
1/11/2001,1086.21,157.441001,211.2720185
1/12/2001,1090.861,111.993001,111.993
1/13/2001,1090.861,55.727001,55.727
1/14/2001,1090.861,54.708001,54.708
1/15/2001,1090.861,133.967001,133.967
1/16/2001,1090.861,164.860001,164.86
1/17/2001,1090.861,166.474001,176.5704506
1/18/2001,1091.733333,158.914001,169.0104506
1/19/2001,1092.605667,103.328001,113.4244506
1/20/2001,1093.478,250.405001,260.5014506
1/21/2001,1094.350333,282.715001,292.8114506
1/22/2001,1095.222667,286.991001,297.0874506
1/23/2001,1096.095,275.664001,188.1755741
1/24/2001,1088.536,289.738001,202.2495741
1/25/2001,1080.977,300.979001,300.979
1/26/2001,1080.977,267.962001,298.2455648
1/27/2001,1083.5935,128.926001,159.2095648
1/28/2001,1086.21,139.319001,139.319
1/29/2001,1086.21,218.323001,211.598463
1/30/2001,1085.629,213.282001,253.6600864
1/31/2001,1089.117667,222.797001,263.1750864
2/1/2001,1092.606333,215.859001,256.2370864
2/2/2001,1096.095,235.369001,295.9245556
2/3/2001,1101.327,142.122001,105.784037
2/4/2001,1098.1874,141.442001,105.104037
2/5/2001,1095.0478,199.945001,163.607037
2/6/2001,1091.9082,180.095001,143.757037
2/7/2001,1088.7686,155.884001,119.546037
2/8/2001,1085.629,150.136001,150.136
2/9/2001,1085.629,73.907001,134.4741296
2/10/2001,1090.862,43.410001,103.9771296
2/11/2001,1096.095,60.145001,29.85564815
2/12/2001,1093.478,123.376001,93.08664815
2/13/2001,1090.861,135.014001,135.014
2/14/2001,1090.861,124.311001,139.4556759
2/15/2001,1092.1695,92.454001,107.5986759
2/16/2001,1093.478,114.683001,129.8276759
2/17/2001,1094.7865,77.843001,92.98767593
2/18/2001,1096.095,84.469001,84.469
2/19/2001,1096.095,132.523001,132.523
2/20/2001,1096.095,77.815001,77.815
2/21/2001,1096.095,121.876001,121.876
2/22/2001,1096.095,169.476001,169.476
2/23/2001,1096.095,227.072001,227.072
